0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,year,half_year,lor,key
04,30,06,21,10599,550,649,203,1083,3186,1288,1405,2235,5475,3013,2022,2,04300621,04300621-2022-2
04,30,06,22,5238,321,331,95,561,1762,604,615,949,2747,1745,2022,2,04300622,04300622-2022-2
04,30,06,23,12147,577,712,241,1550,3873,1475,1537,2182,5984,4357,2022,2,04300623,04300623-2022-2
04,30,06,24,9224,419,463,174,1053,2692,1121,1363,1939,4690,2571,2022,2,04300624,04300624-2022-2
04,40,07,25,98,3,0,0,3,58,17,10,7,38,60,2022,2,04400725,04400725-2022-2
04,40,07,26,5449,289,513,159,422,1064,736,715,1551,2870,1368,2022,2,04400726,04400726-2022-2
04,40,07,27,8276,396,543,145,797,2111,1060,1235,1989,4402,1960,2022,2,04400727,04400727-2022-2
04,40,07,28,3216,184,275,74,223,582,453,475,950,1692,671,2022,2,04400728,04400728-2022-2
04,40,07,29,2854,162,246,82,202,460,347,403,952,1540,625,2022,2,04400729,04400729-2022-2
04,40,08,30,8273,561,773,204,660,2293,927,948,1907,4394,2381,2022,2,04400830,04400830-2022-2
04,40,08,31,1541,56,113,41,142,209,221,215,544,824,238,2022,2,04400831,04400831-2022-2
04,40,08,32,6891,280,507,164,559,1267,940,1065,2109,3799,966,2022,2,04400832,04400832-2022-2
04,40,08,33,4088,187,272,82,243,832,458,566,1448,2182,821,2022,2,04400833,04400833-2022-2
04,40,08,34,3490,155,243,63,279,778,421,562,989,1843,618,2022,2,04400834,04400834-2022-2
04,40,08,35,10292,471,693,235,932,2228,1299,1684,2750,5586,1613,2022,2,04400835,04400835-2022-2
04,50,09,36,5517,269,354,130,530,1413,710,780,1331,2842,1423,2022,2,04500936,04500936-2022-2
04,50,09,37,7599,310,444,121,681,2049,945,1110,1939,3935,1974,2022,2,04500937,04500937-2022-2
04,50,09,38,8216,415,544,135,711,2368,1000,1154,1889,4249,2295,2022,2,04500938,04500938-2022-2
04,50,09,39,6741,376,429,143,683,1949,804,988,1369,3511,1897,2022,2,04500939,04500939-2022-2
04,50,10,40,5942,256,365,136,524,1631,764,917,1349,3086,1579,2022,2,04501040,04501040-2022-2
04,50,10,41,5429,233,339,128,448,1273,736,886,1386,2817,1500,2022,2,04501041,04501041-2022-2
04,50,10,42,3669,179,267,66,373,1019,504,469,792,1840,1375,2022,2,04501042,04501042-2022-2
04,50,10,43,11018,491,753,244,991,2910,1360,1612,2657,5768,3047,2022,2,04501043,04501043-2022-2
04,50,10,44,5441,260,371,119,494,1432,607,767,1391,2892,1530,2022,2,04501044,04501044-2022-2
04,50,10,45,9115,372,519,165,882,2420,1185,1320,2252,4683,2731,2022,2,04501045,04501045-2022-2
04,50,11,46,4613,283,318,94,519,1385,515,629,870,2334,1250,2022,2,04501146,04501146-2022-2
04,50,11,47,5488,243,376,137,623,1564,721,807,1017,2813,1366,2022,2,04501147,04501147-2022-2
04,50,11,48,4545,248,399,122,511,1241,543,603,878,2364,1304,2022,2,04501148,04501148-2022-2
04,50,11,49,9996,510,705,258,913,2580,1242,1409,2379,5268,2528,2022,2,04501149,04501149-2022-2
04,50,11,50,3048,125,176,63,266,801,329,433,855,1596,742,2022,2,04501150,04501150-2022-2
04,50,11,51,7404,339,528,196,800,2035,926,1037,1543,3855,1437,2022,2,04501151,04501151-2022-2
04,50,11,52,6840,267,412,125,693,1734,899,966,1744,3447,1814,2022,2,04501152,04501152-2022-2
04,50,11,53,7410,382,506,164,749,2319,879,969,1442,3663,1963,2022,2,04501153,04501153-2022-2
05,10,01,01,4348,315,416,91,347,980,484,624,1091,2317,507,2022,2,05100101,05100101-2022-2
05,10,01,02,4329,237,251,88,373,903,445,713,1319,2311,702,2022,2,05100102,05100102-2022-2
05,10,01,03,6068,579,566,113,594,2040,647,645,884,3060,1880,2022,2,05100103,05100103-2022-2
05,10,01,04,5790,440,622,177,580,1625,622,608,1116,3020,1663,2022,2,05100104,05100104-2022-2
05,10,01,05,7659,350,528,186,680,1657,913,1332,2013,3929,844,2022,2,05100105,05100105-2022-2
05,10,02,06,3687,207,457,155,370,716,385,457,940,1972,995,2022,2,05100206,05100206-2022-2
05,10,02,07,2322,125,134,60,244,487,293,500,479,1205,267,2022,2,05100207,05100207-2022-2
05,10,02,08,10902,747,1105,339,1017,2567,1234,1382,2511,5592,3133,2022,2,05100208,05100208-2022-2
05,10,02,09,11797,731,1238,402,1233,2808,1356,1595,2434,6116,3156,2022,2,05100209,05100209-2022-2
05,10,02,10,7853,446,631,153,825,2281,991,1132,1394,3991,2116,2022,2,05100210,05100210-2022-2
05,10,02,11,6167,291,474,187,541,1257,793,1004,1620,3150,1135,2022,2,05100211,05100211-2022-2
05,10,03,12,4125,238,341,100,532,1184,509,550,671,2066,1226,2022,2,05100312,05100312-2022-2
