key,year,half_year,lor,total_population,-6,6-15,15-18,18-27,27-45,45-55,55-65,65+
07200307-2022-2,2022,2,07200307,10566,469,673,198,992,2873,1307,1684,2370
07200308-2022-2,2022,2,07200308,10560,623,766,224,1101,3561,1326,1244,1715
07200409-2022-2,2022,2,07200409,9313,474,595,180,878,2796,1316,1542,1532
07200410-2022-2,2022,2,07200410,5599,357,485,136,634,1859,717,624,787
07200411-2022-2,2022,2,07200411,2747,153,165,55,287,929,349,429,380
07200412-2022-2,2022,2,07200412,2025,220,140,39,345,975,127,93,86
07200413-2022-2,2022,2,07200413,7758,420,534,152,737,2765,1039,1195,916
07200414-2022-2,2022,2,07200414,3775,226,282,62,406,1358,496,523,422
07300515-2022-2,2022,2,07300515,6911,358,484,165,608,1710,908,1143,1535
07300516-2022-2,2022,2,07300516,8942,417,665,253,965,2298,1184,1410,1750
07300517-2022-2,2022,2,07300517,9519,601,798,254,940,2337,1179,1348,2062
07300618-2022-2,2022,2,07300618,9338,507,690,234,920,2458,1094,1430,2005
07300619-2022-2,2022,2,07300619,12255,708,984,317,1335,3579,1592,1745,1995
07400720-2022-2,2022,2,07400720,11962,625,927,246,1045,3296,1525,1841,2457
07400721-2022-2,2022,2,07400721,6191,343,759,222,683,1452,789,884,1059
07400822-2022-2,2022,2,07400822,3030,187,232,64,282,926,341,440,558
07400823-2022-2,2022,2,07400823,9775,574,649,183,968,2941,1136,1391,1933
07400824-2022-2,2022,2,07400824,7334,478,552,153,713,2284,861,896,1397
07400825-2022-2,2022,2,07400825,7384,463,518,165,837,2435,923,960,1083
07400826-2022-2,2022,2,07400826,5108,259,327,95,431,1242,598,771,1385
07400927-2022-2,2022,2,07400927,11336,711,824,274,1332,3508,1284,1385,2018
07400928-2022-2,2022,2,07400928,3937,251,300,64,442,1530,470,437,443
07501029-2022-2,2022,2,07501029,8443,576,678,166,847,2507,913,1146,1610
07501030-2022-2,2022,2,07501030,8749,454,634,182,852,2558,999,1126,1944
07501031-2022-2,2022,2,07501031,9107,479,577,172,756,2332,1038,1355,2398
07501032-2022-2,2022,2,07501032,5824,368,404,141,559,1437,693,856,1366
07501133-2022-2,2022,2,07501133,8097,415,600,180,780,1993,933,1087,2109
07501134-2022-2,2022,2,07501134,10588,589,838,248,844,2137,1159,1501,3272
07501135-2022-2,2022,2,07501135,2224,110,150,52,211,410,303,341,647
07601236-2022-2,2022,2,07601236,10345,627,1082,347,1133,2357,1181,1309,2309
07601237-2022-2,2022,2,07601237,4761,241,358,149,437,929,630,801,1216
07601238-2022-2,2022,2,07601238,2838,144,292,80,259,503,330,353,877
07601339-2022-2,2022,2,07601339,5722,358,515,158,471,1246,634,669,1671
07601340-2022-2,2022,2,07601340,6558,397,585,181,658,1499,769,820,1649
07601341-2022-2,2022,2,07601341,2252,126,175,58,167,469,262,364,631
07601442-2022-2,2022,2,07601442,10436,564,830,263,925,1973,1342,1646,2893
07601443-2022-2,2022,2,07601443,10960,600,988,310,842,2145,1417,1786,2872
07601544-2022-2,2022,2,07601544,8990,613,850,234,760,2014,1039,1175,2305
07601545-2022-2,2022,2,07601545,8286,462,897,297,904,1698,943,1115,1970
07601546-2022-2,2022,2,07601546,7029,383,572,204,584,1344,944,1250,1748
07601547-2022-2,2022,2,07601547,3928,291,363,109,283,745,461,629,1047
07601548-2022-2,2022,2,07601548,2946,163,285,77,245,495,366,470,845
08100101-2022-2,2022,2,08100101,4718,223,291,80,449,2019,594,581,481
08100102-2022-2,2022,2,08100102,8301,409,511,164,778,3788,995,887,769
08100103-2022-2,2022,2,08100103,7408,401,455,124,576,3499,937,746,670
08100104-2022-2,2022,2,08100104,6595,339,487,166,632,2967,776,700,528
08100105-2022-2,2022,2,08100105,6047,395,460,191,722,2463,592,458,766
08100206-2022-2,2022,2,08100206,9574,462,620,196,961,4340,1107,934,954
08100207-2022-2,2022,2,08100207,7506,445,738,276,847,2377,951,805,1067
08100208-2022-2,2022,2,08100208,12305,661,927,286,1297,5382,1373,1232,1147
08100209-2022-2,2022,2,08100209,8669,405,609,223,1138,3435,1006,887,966
08100310-2022-2,2022,2,08100310,7806,398,551,189,657,3282,1159,840,730
08100311-2022-2,2022,2,08100311,7249,337,414,105,621,3186,1016,887,683
08100312-2022-2,2022,2,08100312,11874,679,771,205,1004,5233,1594,1230,1158
08100313-2022-2,2022,2,08100313,3854,210,271,78,326,1222,542,570,635
08100314-2022-2,2022,2,08100314,8020,395,542,196,809,3667,944,754,713
