key,year,half_year,lor,total_population,-6,6-15,15-18,18-27,27-45,45-55,55-65,65+
06030606-2018-1,2018,1,06030606,5300,293,377,140,599,1252,807,684,1148
06030607-2018-1,2018,1,06030607,3002,143,222,67,481,643,421,370,655
06030608-2018-1,2018,1,06030608,13649,803,1429,481,1187,2702,2308,1732,3007
06030609-2018-1,2018,1,06030609,12113,635,1022,311,1093,2532,1886,1718,2916
06030610-2018-1,2018,1,06030610,8444,412,823,275,670,1508,1365,1165,2226
06040701-2018-1,2018,1,06040701,10192,536,958,274,670,1593,1692,1408,3061
06040702-2018-1,2018,1,06040702,5478,297,548,210,424,951,827,809,1412
06040703-2018-1,2018,1,06040703,11124,480,954,300,1487,1910,1561,1365,3067
06040804-2018-1,2018,1,06040804,7567,333,654,240,577,1003,1239,1062,2459
06040805-2018-1,2018,1,06040805,5361,232,459,170,415,828,871,745,1641
06040806-2018-1,2018,1,06040806,7299,316,637,255,631,1057,1241,1020,2142
06040807-2018-1,2018,1,06040807,5868,240,501,145,493,962,809,713,2005
06040808-2018-1,2018,1,06040808,4645,347,607,189,394,972,910,513,713
06040809-2018-1,2018,1,06040809,4983,205,506,187,462,755,870,698,1300
06040810-2018-1,2018,1,06040810,7030,343,631,250,636,1169,1084,892,2025
07010101-2018-1,2018,1,07010101,9860,396,522,161,819,2575,1594,1506,2287
07010102-2018-1,2018,1,07010102,16503,851,1217,398,1945,4684,2609,2170,2629
07010103-2018-1,2018,1,07010103,10545,554,695,231,1074,3043,1698,1523,1727
07010104-2018-1,2018,1,07010104,13648,778,1042,292,1569,4238,2221,1792,1716
07020201-2018-1,2018,1,07020201,10723,474,689,211,1063,2759,1717,1503,2307
07020202-2018-1,2018,1,07020202,10248,595,618,197,1088,3480,1402,1249,1619
07020203-2018-1,2018,1,07020203,17952,1037,1173,413,1946,5722,2802,2407,2452
07020204-2018-1,2018,1,07020204,12067,791,757,216,1270,4358,1931,1530,1214
07030301-2018-1,2018,1,07030301,24680,1312,1938,616,2303,5968,4009,3583,4951
07030302-2018-1,2018,1,07030302,9446,502,660,261,1018,2343,1435,1419,1808
07030303-2018-1,2018,1,07030303,12387,773,958,317,1423,3597,1881,1572,1866
07040401-2018-1,2018,1,07040401,18681,1149,1619,468,1985,4799,2816,2337,3508
07040402-2018-1,2018,1,07040402,2362,123,153,46,152,472,354,350,712
07040403-2018-1,2018,1,07040403,24131,1479,1573,486,2569,7263,3379,3023,4359
07040404-2018-1,2018,1,07040404,5127,235,319,97,486,1087,750,688,1465
07040405-2018-1,2018,1,07040405,10985,669,764,240,1284,3245,1444,1309,2030
07040406-2018-1,2018,1,07040406,4083,322,294,46,551,1496,534,417,423
07050501-2018-1,2018,1,07050501,16435,1015,1054,347,1689,4424,2220,2111,3575
07050502-2018-1,2018,1,07050502,8064,374,476,191,767,1943,1065,1034,2214
07050503-2018-1,2018,1,07050503,9208,470,519,165,771,2285,1254,1297,2447
07050504-2018-1,2018,1,07050504,5630,312,409,127,566,1203,863,795,1355
07050505-2018-1,2018,1,07050505,10633,510,753,251,961,1975,1495,1397,3291
07050506-2018-1,2018,1,07050506,2284,88,184,58,201,418,360,321,654
07060601-2018-1,2018,1,07060601,10215,656,965,313,1067,2211,1381,1229,2393
07060602-2018-1,2018,1,07060602,4714,213,419,125,388,896,786,676,1211
07060603-2018-1,2018,1,07060603,2856,167,264,56,243,511,339,383,893
07060604-2018-1,2018,1,07060604,14518,851,1148,375,1299,3168,1748,1819,4110
07070701-2018-1,2018,1,07070701,10519,513,817,280,840,1997,1597,1488,2987
07070702-2018-1,2018,1,07070702,10870,610,874,289,832,2127,1765,1538,2835
07070703-2018-1,2018,1,07070703,7383,354,495,199,620,1305,1086,989,2335
07070704-2018-1,2018,1,07070704,8578,565,962,323,830,1728,1105,1048,2017
