key,lor,year,month,hour,weekday,ac_category,ac_type,is_car,latitude,longitude,district_LOR3,district_LOR2,district,distance_to_CC
114322-2018-1100310,01100310,2018,7,18,2,light_injured,turn_in,True,52.51963623921794,13.412815254835374,011003,0110,01,0.4881881182396681
114325-2018-10300733,10300733,2018,10,12,6,seriously_injured,other,True,52.50929747376265,13.550334053440375,103007,1030,10,9.882516424192682
114330-2018-1100310,01100310,2018,6,9,4,seriously_injured,other,False,52.52508164053617,13.419489432731748,011003,0110,01,1.1463104619831332
114335-2018-3601452,03601452,2018,9,13,2,seriously_injured,other,False,52.5274913024282,13.446292148944737,036014,0360,03,2.9090448110584273
114337-2018-6400735,06400735,2018,6,10,3,light_injured,other,True,52.41351487417576,13.09811869121004,064007,0640,06,23.98085673519477
114338-2018-2400521,02400521,2018,7,9,2,light_injured,other,False,52.51908028165276,13.426738106335646,024005,0240,02,1.4304863635560483
114339-2018-3701659,03701659,2018,6,19,4,light_injured,other,False,52.52824308677168,13.423998780179687,037016,0370,03,1.6028236305136185
114343-2018-4300414,04300414,2018,10,10,2,light_injured,other,False,52.510454459739016,13.290227392101492,043004,0430,04,7.896472047319624
114344-2018-4300414,04300414,2018,7,19,7,light_injured,other,True,52.51115230674337,13.301380126609846,043004,0430,04,7.13549751151086
114345-2018-9200613,09200613,2018,4,8,2,light_injured,other,False,52.45324864413431,13.51444826406917,092006,0920,09,10.412009664624133
114351-2018-1100310,01100310,2018,11,16,1,light_injured,turn_in,True,52.5231379620603,13.410598011113011,011003,0110,01,0.55462558914261
114353-2018-3701659,03701659,2018,8,16,2,light_injured,turn_in,True,52.52827909635928,13.424040982409114,037016,0370,03,1.6075731776526618
114357-2018-1100102,01100102,2018,8,15,7,light_injured,other,False,52.514817181910615,13.355722275133175,011001,0110,01,3.4246580340216606
114358-2018-1100310,01100310,2018,5,19,3,seriously_injured,other,False,52.5221972665192,13.416890856898808,011003,0110,01,0.8333744660769015
114363-2018-1100310,01100310,2018,6,16,4,light_injured,turn_in,True,52.523364259134524,13.418166613438288,011003,0110,01,0.9687488328500903
114365-2018-2100101,02100101,2018,7,16,3,light_injured,other,True,52.49803631669768,13.389139295511493,021001,0210,02,2.6051142828655105
114370-2018-3701659,03701659,2018,3,12,2,light_injured,other,True,52.526427182593594,13.421123390690106,037016,0370,03,1.3243953099662749
114373-2018-9100202,09100202,2018,8,13,3,seriously_injured,other,False,52.486589045152535,13.46522447223982,091002,0910,09,5.431146632490828
114374-2018-3601142,03601142,2018,4,15,2,light_injured,other,False,52.54803466316381,13.41329911779348,036011,0360,03,3.2540878251404233
114376-2018-3701657,03701657,2018,5,16,3,light_injured,other,True,52.53910128403262,13.424006426817252,037016,0370,03,2.54384434693868
